query_id,query,pipeline,precision@10,recall@10,mrr@10,ndcg@10,latency_seconds
10710,Probablity of touching In the money vs expiring in the money for an american option,Naive Dense RAG,0.1,1.0,1.0,1.0,0.01999210000030871
10710,Probablity of touching In the money vs expiring in the money for an american option,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,27.315150200000062
7344,How is the Dow divisor calculated?,Naive Dense RAG,0.1,1.0,1.0,1.0,0.007179599999290076
7344,How is the Dow divisor calculated?,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,15.974679400000241
10462,"Is it okay to be married, 30 years old and have no retirement?",Naive Dense RAG,0.0,0.0,0.0,0.0,0.00704300000143121
10462,"Is it okay to be married, 30 years old and have no retirement?",Optimized Hybrid RAG,0.0,0.0,0.0,0.0,17.400878399999783
68,Intentions of Deductible Amount for Small Business,Naive Dense RAG,0.0,0.0,0.0,0.0,0.007541799999671639
68,Intentions of Deductible Amount for Small Business,Optimized Hybrid RAG,0.0,0.0,0.0,0.0,24.364014200000383
5460,Paying off a loan with a loan to get a better interest rate,Naive Dense RAG,0.0,0.0,0.0,0.0,0.008696400000189897
5460,Paying off a loan with a loan to get a better interest rate,Optimized Hybrid RAG,0.0,0.0,0.0,0.0,21.086903399998846
5064,How much should a graduate student attempt to save?,Naive Dense RAG,0.1,1.0,1.0,1.0,0.007666199999221135
5064,How much should a graduate student attempt to save?,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,22.969073000000208
5741,Learning investing and the stock market,Naive Dense RAG,0.1,1.0,0.1111111111111111,0.3010299956639812,0.007091999999829568
5741,Learning investing and the stock market,Optimized Hybrid RAG,0.1,1.0,0.25,0.43067655807339306,42.86025879999943
4785,What is the difference between a structured collar and a normal collar in finance?,Naive Dense RAG,0.1,1.0,1.0,1.0,0.011059500000556
4785,What is the difference between a structured collar and a normal collar in finance?,Optimized Hybrid RAG,0.1,1.0,0.5,0.6309297535714575,24.425765600000886
4981,Where can I find open source portfolio management software?,Naive Dense RAG,0.1,1.0,1.0,1.0,0.010649800000464893
4981,Where can I find open source portfolio management software?,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,43.193088799998804
7700,Should I re-allocate my portfolio now or let it balance out over time?,Naive Dense RAG,0.0,0.0,0.0,0.0,0.009831400000621215
7700,Should I re-allocate my portfolio now or let it balance out over time?,Optimized Hybrid RAG,0.0,0.0,0.0,0.0,22.85149669999919
10645,Explain the details and benefits of rebalancing a retirement portfolio?,Naive Dense RAG,0.1,1.0,0.5,0.6309297535714575,0.01169079999999667
10645,Explain the details and benefits of rebalancing a retirement portfolio?,Optimized Hybrid RAG,0.1,1.0,0.5,0.6309297535714575,30.95935230000032
5369,Paying for things on credit and immediately paying them off: any help for credit rating?,Naive Dense RAG,0.0,0.0,0.0,0.0,0.010580000000118162
5369,Paying for things on credit and immediately paying them off: any help for credit rating?,Optimized Hybrid RAG,0.0,0.0,0.0,0.0,22.69020509999973
6080,Is ScholarShare a legitimate entity for a 529 plan in California?,Naive Dense RAG,0.1,1.0,1.0,1.0,0.01011359999938577
6080,Is ScholarShare a legitimate entity for a 529 plan in California?,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,17.401628500001607
2204,What's an economic explanation for why greeting cards are so expensive?,Naive Dense RAG,0.2,1.0,1.0,1.0,0.008874000001014792
2204,What's an economic explanation for why greeting cards are so expensive?,Optimized Hybrid RAG,0.2,1.0,1.0,1.0,15.018562900000688
10808,What are a few sites that make it easy to invest in high interest rate mutual funds?,Naive Dense RAG,0.1,1.0,0.5,0.6309297535714575,0.01008449999972072
10808,What are a few sites that make it easy to invest in high interest rate mutual funds?,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,42.508520500001396
2549,How to graph the market year over year? for example Dow Jones Index,Naive Dense RAG,0.1,1.0,0.2,0.38685280723454163,0.010529299999689101
2549,How to graph the market year over year? for example Dow Jones Index,Optimized Hybrid RAG,0.1,1.0,0.16666666666666666,0.3562071871080222,29.721067000000403
9556,How does pre-market trading work?,Naive Dense RAG,0.1,1.0,0.2,0.38685280723454163,0.008849800000461983
9556,How does pre-market trading work?,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,53.98242720000053
5951,Why can't house prices be out of tune with salaries,Naive Dense RAG,0.1,1.0,0.2,0.38685280723454163,0.010944800000288524
5951,Why can't house prices be out of tune with salaries,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,31.09314919999997
8632,"Is it best to exercise options shares when they vest, or wait",Naive Dense RAG,0.1,1.0,0.5,0.6309297535714575,0.0136434999985795
8632,"Is it best to exercise options shares when they vest, or wait",Optimized Hybrid RAG,0.1,1.0,1.0,1.0,22.133516199999576
9481,What are reasonable administrative fees for an IRA?,Naive Dense RAG,0.1,1.0,1.0,1.0,0.008333499999935157
9481,What are reasonable administrative fees for an IRA?,Optimized Hybrid RAG,0.1,1.0,1.0,1.0,16.031583599999067
